city,state_id,state_name,county_fips,county_name
Garland,TX,Texas,48113,Dallas
Irving,TX,Texas,48113,Dallas
Visalia,CA,California,6107,Tulare
Arlington,VA,Virginia,51013,Arlington
Brownsville,TX,Texas,48061,Cameron
Bremerton,WA,Washington,53035,Kitsap
Tacoma,WA,Washington,53053,Pierce
San Bernardino,CA,California,6071,San Bernardino
College Station,TX,Texas,48041,Brazos
Thousand Oaks,CA,California,6111,Ventura
Roanoke,VA,Virginia,51770,Roanoke
Fontana,CA,California,6071,San Bernardino
Moreno Valley,CA,California,6065,Riverside
Amarillo,TX,Texas,48375,Potter
Santa Barbara,CA,California,6083,Santa Barbara
Olympia,WA,Washington,53067,Thurston
Frisco,TX,Texas,48085,Collin
Glendale,CA,California,6037,Los Angeles
Huntington Beach,CA,California,6059,Orange
Grand Prairie,TX,Texas,48113,Dallas
Waco,TX,Texas,48309,McLennan
Salinas,CA,California,6053,Monterey
Ontario,CA,California,6071,San Bernardino
Vancouver,WA,Washington,53011,Clark
Newport News,VA,Virginia,51700,Newport News
Rancho Cucamonga,CA,California,6071,San Bernardino
Hemet,CA,California,6065,Riverside
Santa Cruz,CA,California,6087,Santa Cruz
Oceanside,CA,California,6073,San Diego
Elk Grove,CA,California,6067,Sacramento
Vallejo,CA,California,6095,Solano
Garden Grove,CA,California,6059,Orange
Marysville,WA,Washington,53061,Snohomish
Corona,CA,California,6065,Riverside
Fredericksburg,VA,Virginia,51630,Fredericksburg
Alexandria,VA,Virginia,51510,Alexandria
Hayward,CA,California,6001,Alameda
Lakewood,CO,Colorado,8059,Jefferson
Odessa,TX,Texas,48135,Ector
Palmdale,CA,California,6037,Los Angeles
Midland,TX,Texas,48329,Midland
Port Arthur,TX,Texas,48245,Jefferson
Sunnyvale,CA,California,6085,Santa Clara
Pomona,CA,California,6037,Los Angeles
Escondido,CA,California,6073,San Diego
Pasadena,TX,Texas,48201,Harris
Fairfield,CA,California,6095,Solano
Bellevue,WA,Washington,53033,King
Beaumont,TX,Texas,48245,Jefferson
Merced,CA,California,6047,Merced
Pueblo,CO,Colorado,8101,Pueblo
Tyler,TX,Texas,48423,Smith
Torrance,CA,California,6037,Los Angeles
Roseville,CA,California,6061,Placer
Thornton,CO,Colorado,8001,Adams
Pasadena,CA,California,6037,Los Angeles
Mesquite,TX,Texas,48113,Dallas
Santa Maria,CA,California,6083,Santa Barbara
Carrollton,TX,Texas,48113,Dallas
Grand Junction,CO,Colorado,8077,Mesa
Orange,CA,California,6059,Orange
Fullerton,CA,California,6059,Orange
Greeley,CO,Colorado,8123,Weld
Harlingen,TX,Texas,48061,Cameron
Hampton,VA,Virginia,51650,Hampton
Round Rock,TX,Texas,48491,Williamson
Yakima,WA,Washington,53077,Yakima
Kent,WA,Washington,53033,King
Bellingham,WA,Washington,53073,Whatcom
Santa Clara,CA,California,6085,Santa Clara
Lynchburg,VA,Virginia,51680,Lynchburg
Simi Valley,CA,California,6111,Ventura
Boulder,CO,Colorado,8013,Boulder
Abilene,TX,Texas,48441,Taylor
Pearland,TX,Texas,48039,Brazoria
Berkeley,CA,California,6001,Alameda
Richardson,TX,Texas,48113,Dallas
Redding,CA,California,6089,Shasta
Arvada,CO,Colorado,8059,Jefferson
East Los Angeles,CA,California,6037,Los Angeles
Yuba City,CA,California,6101,Sutter
Gilroy,CA,California,6085,Santa Clara
Sugar Land,TX,Texas,48157,Fort Bend
Texas City,TX,Texas,48167,Galveston
Chico,CA,California,6007,Butte
Seaside,CA,California,6053,Monterey
El Monte,CA,California,6037,Los Angeles
Carlsbad,CA,California,6073,San Diego
Temecula,CA,California,6065,Riverside
Clovis,CA,California,6019,Fresno
The Woodlands,TX,Texas,48339,Montgomery
Westminster,CO,Colorado,8001,Adams
Costa Mesa,CA,California,6059,Orange
Everett,WA,Washington,53061,Snohomish
El Centro,CA,California,6025,Imperial
Downey,CA,California,6037,Los Angeles
Centennial,CO,Colorado,8005,Arapahoe
Richmond,CA,California,6013,Contra Costa
Jurupa Valley,CA,California,6065,Riverside
Lewisville,TX,Texas,48121,Denton
San Buenaventura,CA,California,6111,Ventura
Inglewood,CA,California,6037,Los Angeles
League City,TX,Texas,48167,Galveston
Turlock,CA,California,6099,Stanislaus
Temple,TX,Texas,48027,Bell
Daly City,CA,California,6081,San Mateo
Highlands Ranch,CO,Colorado,8035,Douglas
Allen,TX,Texas,48085,Collin
West Covina,CA,California,6037,Los Angeles
Wichita Falls,TX,Texas,48485,Wichita
San Mateo,CA,California,6081,San Mateo
Norwalk,CA,California,6037,Los Angeles
Rialto,CA,California,6071,San Bernardino
Manteca,CA,California,6077,San Joaquin
Arden-Arcade,CA,California,6067,Sacramento
El Cajon,CA,California,6073,San Diego
Burbank,CA,California,6037,Los Angeles
Longmont,CO,Colorado,8013,Boulder
Renton,WA,Washington,53033,King
Vista,CA,California,6073,San Diego
Vacaville,CA,California,6095,Solano
Edinburg,TX,Texas,48215,Hidalgo
Spokane Valley,WA,Washington,53063,Spokane
San Angelo,TX,Texas,48451,Tom Green
Charlottesville,VA,Virginia,51540,Charlottesville
Longview,TX,Texas,48183,Gregg
Tracy,CA,California,6077,San Joaquin
Lafayette,CO,Colorado,8013,Boulder
San Marcos,CA,California,6073,San Diego
Federal Way,WA,Washington,53033,King
Hesperia,CA,California,6071,San Bernardino
Compton,CA,California,6037,Los Angeles
Menifee,CA,California,6065,Riverside
Portsmouth,VA,Virginia,51740,Portsmouth
Chino,CA,California,6071,San Bernardino
Hanford,CA,California,6031,Kings
South Gate,CA,California,6037,Los Angeles
Kirkland,WA,Washington,53033,King
Suffolk,VA,Virginia,51800,Suffolk
Blacksburg,VA,Virginia,51121,Montgomery
Carson,CA,California,6037,Los Angeles
Conroe,TX,Texas,48339,Montgomery
Livermore,CA,California,6001,Alameda
Westminster,CA,California,6059,Orange
Santa Monica,CA,California,6037,Los Angeles
New Braunfels,TX,Texas,48091,Comal
San Leandro,CA,California,6001,Alameda
Citrus Heights,CA,California,6067,Sacramento
Bryan,TX,Texas,48041,Brazos
Hawthorne,CA,California,6037,Los Angeles
Redwood City,CA,California,6081,San Mateo
Lake Forest,CA,California,6059,Orange
Napa,CA,California,6055,Napa
Whittier,CA,California,6037,Los Angeles
Newport Beach,CA,California,6059,Orange
Mission,TX,Texas,48215,Hidalgo
Milpitas,CA,California,6085,Santa Clara
Madera,CA,California,6039,Madera
Chino Hills,CA,California,6071,San Bernardino
Alhambra,CA,California,6037,Los Angeles
Mountain View,CA,California,6085,Santa Clara
Buena Park,CA,California,6059,Orange
Pleasanton,CA,California,6001,Alameda
Atascocita,TX,Texas,48201,Harris
Auburn,WA,Washington,53033,King
Folsom,CA,California,6067,Sacramento
Williamsburg,VA,Virginia,51830,Williamsburg
Georgetown,TX,Texas,48491,Williamson
Cedar Park,TX,Texas,48491,Williamson
Tustin,CA,California,6059,Orange
Lakewood,CA,California,6037,Los Angeles
Perris,CA,California,6065,Riverside
Flower Mound,TX,Texas,48121,Denton
Pharr,TX,Texas,48215,Hidalgo
Loveland,CO,Colorado,8069,Larimer
Texarkana,TX,Texas,48037,Bowie
Alameda,CA,California,6001,Alameda
Watsonville,CA,California,6087,Santa Cruz
Porterville,CA,California,6107,Tulare
Baytown,TX,Texas,48201,Harris
Upland,CA,California,6071,San Bernardino
Davis,CA,California,6113,Yolo
Camarillo,CA,California,6111,Ventura
Bellflower,CA,California,6037,Los Angeles
San Marcos,TX,Texas,48209,Hays
San Ramon,CA,California,6013,Contra Costa
Lake Jackson,TX,Texas,48039,Brazoria
Missouri City,TX,Texas,48157,Fort Bend
Pasco,WA,Washington,53021,Franklin
Baldwin Park,CA,California,6037,Los Angeles
Rancho Cordova,CA,California,6067,Sacramento
Lodi,CA,California,6077,San Joaquin
Winchester,VA,Virginia,51840,Winchester
Centreville,VA,Virginia,51059,Fairfax
Union City,CA,California,6001,Alameda
Apple Valley,CA,California,6071,San Bernardino
Dale City,VA,Virginia,51153,Prince William
Pittsburg,CA,California,6013,Contra Costa
Mansfield,TX,Texas,48439,Tarrant
Harrisonburg,VA,Virginia,51660,Harrisonburg
Wenatchee,WA,Washington,53007,Chelan
Redmond,WA,Washington,53033,King
Redlands,CA,California,6071,San Bernardino
Mount Vernon,WA,Washington,53057,Skagit
Sherman,TX,Texas,48181,Grayson
North Richland Hills,TX,Texas,48439,Tarrant
Broomfield,CO,Colorado,8014,Broomfield
El Paso de Robles,CA,California,6079,San Luis Obispo
Walnut Creek,CA,California,6013,Contra Costa
Lynwood,CA,California,6037,Los Angeles
Lake Elsinore,CA,California,6065,Riverside
Rocklin,CA,California,6061,Placer
Castle Rock,CO,Colorado,8035,Douglas
Victoria,TX,Texas,48469,Victoria
South San Francisco,CA,California,6081,San Mateo
Yorba Linda,CA,California,6059,Orange
Rowlett,TX,Texas,48113,Dallas
Longview,WA,Washington,53015,Cowlitz
Petaluma,CA,California,6097,Sonoma
Redondo Beach,CA,California,6037,Los Angeles
Laguna Niguel,CA,California,6059,Orange
Sammamish,WA,Washington,53033,King
Florence-Graham,CA,California,6037,Los Angeles
Tulare,CA,California,6107,Tulare
Pflugerville,TX,Texas,48453,Travis
Palo Alto,CA,California,6085,Santa Clara
Dublin,CA,California,6001,Alameda
San Clemente,CA,California,6059,Orange
Brentwood,CA,California,6013,Contra Costa
Carmichael,CA,California,6067,Sacramento
Eastvale,CA,California,6065,Riverside
Castro Valley,CA,California,6001,Alameda
Encinitas,CA,California,6073,San Diego
Leander,TX,Texas,48491,Williamson
San Luis Obispo,CA,California,6079,San Luis Obispo
Pico Rivera,CA,California,6037,Los Angeles
Montebello,CA,California,6037,Los Angeles
National City,CA,California,6073,San Diego
Reston,VA,Virginia,51059,Fairfax
Lakewood,WA,Washington,53053,Pierce
Spring,TX,Texas,48201,Harris
Woodland,CA,California,6113,Yolo
La Habra,CA,California,6059,Orange
South Whittier,CA,California,6037,Los Angeles
Commerce City,CO,Colorado,8001,Adams
South Hill,WA,Washington,53053,Pierce
Monterey Park,CA,California,6037,Los Angeles
Staunton,VA,Virginia,51790,Staunton
Gardena,CA,California,6037,Los Angeles
Cupertino,CA,California,6085,Santa Clara
La Mesa,CA,California,6073,San Diego
San Rafael,CA,California,6041,Marin
Richland,WA,Washington,53005,Benton
Santee,CA,California,6073,San Diego
Arcadia,CA,California,6037,Los Angeles
Walla Walla,WA,Washington,53071,Walla Walla
Parker,CO,Colorado,8035,Douglas
Huntington Park,CA,California,6037,Los Angeles
Euless,TX,Texas,48439,Tarrant
Shoreline,WA,Washington,53033,King
Diamond Bar,CA,California,6037,Los Angeles
Eagle Pass,TX,Texas,48323,Maverick
Novato,CA,California,6041,Marin
Highland,CA,California,6071,San Bernardino
Fountain Valley,CA,California,6059,Orange
Grapevine,TX,Texas,48439,Tarrant
Hacienda Heights,CA,California,6037,Los Angeles
Cathedral City,CA,California,6065,Riverside
Delano,CA,California,6029,Kern
Colton,CA,California,6071,San Bernardino
Arroyo Grande,CA,California,6079,San Luis Obispo
Rosemead,CA,California,6037,Los Angeles
Paramount,CA,California,6037,Los Angeles
Yucaipa,CA,California,6071,San Bernardino
Leesburg,VA,Virginia,51107,Loudoun
West Sacramento,CA,California,6113,Yolo
Palm Desert,CA,California,6065,Riverside
Little Elm,TX,Texas,48121,Denton
Wylie,TX,Texas,48085,Collin
DeSoto,TX,Texas,48113,Dallas
Lacey,WA,Washington,53067,Thurston
Lompoc,CA,California,6083,Santa Barbara
Glendora,CA,California,6037,Los Angeles
Burien,WA,Washington,53033,King
Placentia,CA,California,6059,Orange
Beaumont,CA,California,6065,Riverside
Aliso Viejo,CA,California,6059,Orange
Galveston,TX,Texas,48167,Galveston
Rowland Heights,CA,California,6037,Los Angeles
Forney,TX,Texas,48257,Kaufman
Azusa,CA,California,6037,Los Angeles
Cerritos,CA,California,6037,Los Angeles
Ashburn,VA,Virginia,51107,Loudoun
Oroville,CA,California,6007,Butte
Poway,CA,California,6073,San Diego
San Jacinto,CA,California,6065,Riverside
Newark,CA,California,6001,Alameda
Bedford,TX,Texas,48439,Tarrant
Reedley,CA,California,6019,Fresno
Cypress,CA,California,6059,Orange
Hollister,CA,California,6069,San Benito
Tuckahoe,VA,Virginia,51087,Henrico
Ceres,CA,California,6099,Stanislaus
Rio Grande City,TX,Texas,48427,Starr
Palm Springs,CA,California,6065,Riverside
Antelope,CA,California,6067,Sacramento
Kyle,TX,Texas,48209,Hays
Lincoln,CA,California,6061,Placer
Burleson,TX,Texas,48251,Johnson
La Mirada,CA,California,6037,Los Angeles
Farmers Branch,TX,Texas,48113,Dallas
Littleton,CO,Colorado,8005,Arapahoe
Cedar Hill,TX,Texas,48113,Dallas
Rancho Santa Margarita,CA,California,6059,Orange
McLean,VA,Virginia,51059,Fairfax
North Highlands,CA,California,6067,Sacramento
Florin,CA,California,6067,Sacramento
Covina,CA,California,6037,Los Angeles
Bothell,WA,Washington,53033,King
Keller,TX,Texas,48439,Tarrant
El Dorado Hills,CA,California,6017,El Dorado
Weatherford,TX,Texas,48367,Parker
Morgan Hill,CA,California,6085,Santa Clara
Danville,VA,Virginia,51590,Danville
Rockwall,TX,Texas,48397,Rockwall
Coachella,CA,California,6065,Riverside
Lufkin,TX,Texas,48005,Angelina
Altadena,CA,California,6037,Los Angeles
Lake Ridge,VA,Virginia,51153,Prince William
Selma,CA,California,6019,Fresno
Danville,CA,California,6013,Contra Costa
The Colony,TX,Texas,48121,Denton
Eureka,CA,California,6023,Humboldt
Del Rio,TX,Texas,48465,Val Verde
Desert Hot Springs,CA,California,6065,Riverside
Haltom City,TX,Texas,48439,Tarrant
Annandale,VA,Virginia,51059,Fairfax
Rohnert Park,CA,California,6097,Sonoma
Brea,CA,California,6059,Orange
Channelview,TX,Texas,48201,Harris
Centralia,WA,Washington,53041,Lewis
San Bruno,CA,California,6081,San Mateo
Burke,VA,Virginia,51059,Fairfax
Edmonds,WA,Washington,53061,Snohomish
Oakley,CA,California,6013,Contra Costa
Puyallup,WA,Washington,53053,Pierce
Huntsville,TX,Texas,48471,Walker
Schertz,TX,Texas,48187,Guadalupe
Bell Gardens,CA,California,6037,Los Angeles
Campbell,CA,California,6085,Santa Clara
La Quinta,CA,California,6065,Riverside
Weslaco,TX,Texas,48215,Hidalgo
Brighton,CO,Colorado,8001,Adams
Rancho Palos Verdes,CA,California,6037,Los Angeles
Coppell,TX,Texas,48113,Dallas
Linton Hall,VA,Virginia,51153,Prince William
Manassas,VA,Virginia,51683,Manassas
Los Banos,CA,California,6047,Merced
Friendswood,TX,Texas,48167,Galveston
Montclair,CA,California,6071,San Bernardino
San Gabriel,CA,California,6037,Los Angeles
Calexico,CA,California,6025,Imperial
La Puente,CA,California,6037,Los Angeles
Security-Widefield,CO,Colorado,8041,El Paso
Issaquah,WA,Washington,53033,King
Lancaster,TX,Texas,48113,Dallas
Culver City,CA,California,6037,Los Angeles
Lynnwood,WA,Washington,53061,Snohomish
Moses Lake,WA,Washington,53025,Grant
Northglenn,CO,Colorado,8001,Adams
Duncanville,TX,Texas,48113,Dallas
Hurst,TX,Texas,48439,Tarrant
Pacifica,CA,California,6081,San Mateo
Rosenberg,TX,Texas,48157,Fort Bend
Martinez,CA,California,6013,Contra Costa
La Presa,CA,California,6073,San Diego
Stanton,CA,California,6059,Orange
Granbury,TX,Texas,48221,Hood
Waxahachie,TX,Texas,48139,Ellis
Mission Bend,TX,Texas,48157,Fort Bend
Mechanicsville,VA,Virginia,51085,Hanover
Cleburne,TX,Texas,48251,Johnson
Parkland,WA,Washington,53053,Pierce
Wildomar,CA,California,6065,Riverside
San Juan,TX,Texas,48215,Hidalgo
Oakton,VA,Virginia,51059,Fairfax
West Hollywood,CA,California,6037,Los Angeles
Moorpark,CA,California,6111,Ventura
Monrovia,CA,California,6037,Los Angeles
Claremont,CA,California,6037,Los Angeles
French Valley,CA,California,6065,Riverside
San Juan Capistrano,CA,California,6059,Orange
Foothill Farms,CA,California,6067,Sacramento
Temple City,CA,California,6037,Los Angeles
Bell,CA,California,6037,Los Angeles
Auburn,CA,California,6061,Placer
Westmont,CA,California,6037,Los Angeles
Oak Harbor,WA,Washington,53029,Island
Manhattan Beach,CA,California,6037,Los Angeles
La Porte,TX,Texas,48201,Harris
Englewood,CO,Colorado,8005,Arapahoe
Pleasant Hill,CA,California,6013,Contra Costa
Orangevale,CA,California,6067,Sacramento
Oildale,CA,California,6029,Kern
Menlo Park,CA,California,6081,San Mateo
Dakota Ridge,CO,Colorado,8059,Jefferson
Arcata,CA,California,6023,Humboldt
Pullman,WA,Washington,53075,Whitman
Nacogdoches,TX,Texas,48347,Nacogdoches
Socorro,TX,Texas,48141,El Paso
Firestone,CO,Colorado,8123,Weld
Grass Valley,CA,California,6057,Nevada
Adelanto,CA,California,6071,San Bernardino
Ken Caryl,CO,Colorado,8059,Jefferson
University Place,WA,Washington,53053,Pierce
Lake Stevens,WA,Washington,53061,Snohomish
Foster City,CA,California,6081,San Mateo
Sonoma,CA,California,6097,Sonoma
Beverly Hills,CA,California,6037,Los Angeles
San Dimas,CA,California,6037,Los Angeles
Dana Point,CA,California,6059,Orange
Midlothian,TX,Texas,48139,Ellis
Fair Oaks,VA,Virginia,51059,Fairfax
Deer Park,TX,Texas,48201,Harris
Copperas Cove,TX,Texas,48099,Coryell
Ridgecrest,CA,California,6029,Kern
Spanaway,WA,Washington,53053,Pierce
Harker Heights,TX,Texas,48027,Bell
Lawndale,CA,California,6037,Los Angeles
Southlake,TX,Texas,48439,Tarrant
Des Moines,WA,Washington,53033,King
Springfield,VA,Virginia,51059,Fairfax
La Verne,CA,California,6037,Los Angeles
Placerville,CA,California,6017,El Dorado
Martinsville,VA,Virginia,51690,Martinsville
Pueblo West,CO,Colorado,8101,Pueblo
Fallbrook,CA,California,6073,San Diego
Spring Valley,CA,California,6073,San Diego
South Riding,VA,Virginia,51107,Loudoun
Petersburg,VA,Virginia,51730,Petersburg
Wheat Ridge,CO,Colorado,8059,Jefferson
Cibolo,TX,Texas,48187,Guadalupe
Banning,CA,California,6065,Riverside
Laguna Hills,CA,California,6059,Orange
Orcutt,CA,California,6083,Santa Barbara
Fair Oaks,CA,California,6067,Sacramento
San Pablo,CA,California,6013,Contra Costa
Goleta,CA,California,6083,Santa Barbara
Burlingame,CA,California,6081,San Mateo
Fountain,CO,Colorado,8041,El Paso
Kerrville,TX,Texas,48265,Kerr
Barstow,CA,California,6071,San Bernardino
Windsor,CO,Colorado,8123,Weld
Sterling,VA,Virginia,51107,Loudoun
Santa Paula,CA,California,6111,Ventura
Los Gatos,CA,California,6085,Santa Clara
South Lake Tahoe,CA,California,6017,El Dorado
San Carlos,CA,California,6081,San Mateo
Saratoga,CA,California,6085,Santa Clara
Los Altos,CA,California,6085,Santa Clara
Atascadero,CA,California,6079,San Luis Obispo
Seguin,TX,Texas,48187,Guadalupe
Walnut,CA,California,6037,Los Angeles
Suisun City,CA,California,6095,Solano
West Falls Church,VA,Virginia,51059,Fairfax
Aberdeen,WA,Washington,53027,Grays Harbor
Ukiah,CA,California,6045,Mendocino
Atwater,CA,California,6047,Merced
East Palo Alto,CA,California,6081,San Mateo
SeaTac,WA,Washington,53033,King
Graham,WA,Washington,53053,Pierce
Big Spring,TX,Texas,48227,Howard
Greenville,TX,Texas,48231,Hunt
Wasco,CA,California,6029,Kern
Vineyard,CA,California,6067,Sacramento
Short Pump,VA,Virginia,51087,Henrico
Benicia,CA,California,6095,Solano
Monterey,CA,California,6053,Monterey
Converse,TX,Texas,48029,Bexar
Sonora,CA,California,6109,Tuolumne
Galt,CA,California,6067,Sacramento
Hutto,TX,Texas,48491,Williamson
Sanger,CA,California,6019,Fresno
Isla Vista,CA,California,6083,Santa Barbara
Cañon City,CO,Colorado,8043,Fremont
Temescal Valley,CA,California,6065,Riverside
Imperial Beach,CA,California,6073,San Diego
Ladera Ranch,CA,California,6059,Orange
Maple Valley,WA,Washington,53033,King
Windsor,CA,California,6097,Sonoma
Colleyville,TX,Texas,48439,Tarrant
Erie,CO,Colorado,8013,Boulder
Maywood,CA,California,6037,Los Angeles
Belmont,CA,California,6081,San Mateo
Lemon Grove,CA,California,6073,San Diego
Lemoore,CA,California,6031,Kings
Alvin,TX,Texas,48039,Brazoria
West Whittier-Los Nietos,CA,California,6037,Los Angeles
Lafayette,CA,California,6013,Contra Costa
Norco,CA,California,6065,Riverside
Brawley,CA,California,6025,Imperial
Snoqualmie,WA,Washington,53033,King
Hercules,CA,California,6013,Contra Costa
Soledad,CA,California,6053,Monterey
Twentynine Palms,CA,California,6071,San Bernardino
Sachse,TX,Texas,48113,Dallas
Paris,TX,Texas,48277,Lamar
Cave Spring,VA,Virginia,51161,Roanoke
West Odessa,TX,Texas,48135,Ector
Mercer Island,WA,Washington,53033,King
Bay Point,CA,California,6013,Contra Costa
Cloverleaf,TX,Texas,48201,Harris
San Lorenzo,CA,California,6001,Alameda
Denison,TX,Texas,48181,Grayson
El Cerrito,CA,California,6013,Contra Costa
Columbine,CO,Colorado,8059,Jefferson
South Pasadena,CA,California,6037,Los Angeles
Canyon Lake,TX,Texas,48091,Comal
Kingsville,TX,Texas,48273,Kleberg
Salem,VA,Virginia,51775,Salem
Bainbridge Island,WA,Washington,53035,Kitsap
Fresno,TX,Texas,48157,Fort Bend
Yucca Valley,CA,California,6071,San Bernardino
Balch Springs,TX,Texas,48113,Dallas
University Park,TX,Texas,48113,Dallas
Timberwood Park,TX,Texas,48029,Bexar
Riverbank,CA,California,6099,Stanislaus
North Tustin,CA,California,6059,Orange
Herndon,VA,Virginia,51059,Fairfax
Prosper,TX,Texas,48085,Collin
Lathrop,CA,California,6077,San Joaquin
Loma Linda,CA,California,6071,San Bernardino
Watauga,TX,Texas,48439,Tarrant
Dinuba,CA,California,6107,Tulare
Ashland,CA,California,6001,Alameda
Camas,WA,Washington,53011,Clark
Ellensburg,WA,Washington,53037,Kittitas
Chantilly,VA,Virginia,51059,Fairfax
Woodlawn,VA,Virginia,51059,Fairfax
Orchards,WA,Washington,53011,Clark
San Fernando,CA,California,6037,Los Angeles
Saginaw,TX,Texas,48439,Tarrant
Port Angeles,WA,Washington,53009,Clallam
Mill Creek East,WA,Washington,53061,Snohomish
Tysons,VA,Virginia,51059,Fairfax
San Benito,TX,Texas,48061,Cameron
West Springfield,VA,Virginia,51059,Fairfax
Bailey's Crossroads,VA,Virginia,51059,Fairfax
Tumwater,WA,Washington,53067,Thurston
Fairfax,VA,Virginia,51600,Fairfax
Lincolnia,VA,Virginia,51059,Fairfax
Corsicana,TX,Texas,48349,Navarro
Seal Beach,CA,California,6059,Orange
Calabasas,CA,California,6037,Los Angeles
Coronado,CA,California,6073,San Diego
Valinda,CA,California,6037,Los Angeles
Half Moon Bay,CA,California,6081,San Mateo
North Lynnwood,WA,Washington,53061,Snohomish
Rosemont,CA,California,6067,Sacramento
Oakdale,CA,California,6099,Stanislaus
Cudahy,CA,California,6037,Los Angeles
Winter Gardens,CA,California,6073,San Diego
Fort Hood,TX,Texas,48027,Bell
Benbrook,TX,Texas,48439,Tarrant
Montrose,CO,Colorado,8085,Montrose
Plainview,TX,Texas,48189,Hale
West Puente Valley,CA,California,6037,Los Angeles
Granite Bay,CA,California,6061,Placer
Kenmore,WA,Washington,53033,King
Frederickson,WA,Washington,53053,Pierce
Patterson,CA,California,6099,Stanislaus
West Rancho Dominguez,CA,California,6037,Los Angeles
Belton,TX,Texas,48027,Bell
Marshall,TX,Texas,48203,Harrison
Laguna Beach,CA,California,6059,Orange
Willowbrook,CA,California,6037,Los Angeles
Marina,CA,California,6053,Monterey
Cottage Lake,WA,Washington,53033,King
Waynesboro,VA,Virginia,51820,Waynesboro
Corcoran,CA,California,6031,Kings
Hopewell,VA,Virginia,51670,Hopewell
Christiansburg,VA,Virginia,51121,Montgomery
Millbrae,CA,California,6081,San Mateo
Silver Firs,WA,Washington,53061,Snohomish
Sequim,WA,Washington,53009,Clallam
Rose Hill,VA,Virginia,51059,Fairfax
Arvin,CA,California,6029,Kern
Corinth,TX,Texas,48121,Denton
West Carson,CA,California,6037,Los Angeles
Chester,VA,Virginia,51041,Chesterfield
Union Hill-Novelty Hill,WA,Washington,53033,King
Port Hueneme,CA,California,6111,Ventura
Lakeside,CA,California,6073,San Diego
Bloomington,CA,California,6071,San Bernardino
Lennox,CA,California,6037,Los Angeles
Rancho San Diego,CA,California,6073,San Diego
Shafter,CA,California,6029,Kern
Eastmont,WA,Washington,53061,Snohomish
Katy,TX,Texas,48201,Harris
Brownwood,TX,Texas,48049,Brown
Silverdale,WA,Washington,53035,Kitsap
McNair,VA,Virginia,51059,Fairfax
Mukilteo,WA,Washington,53061,Snohomish
Brambleton,VA,Virginia,51107,Loudoun
Mountlake Terrace,WA,Washington,53061,Snohomish
Ramona,CA,California,6073,San Diego
Duarte,CA,California,6037,Los Angeles
Battle Ground,WA,Washington,53011,Clark
Stephenville,TX,Texas,48143,Erath
Evans,CO,Colorado,8123,Weld
Hazel Dell,WA,Washington,53011,Clark
Covington,WA,Washington,53033,King
Bonney Lake,WA,Washington,53053,Pierce
Dickinson,TX,Texas,48167,Galveston
Martha Lake,WA,Washington,53061,Snohomish
Bothell West,WA,Washington,53061,Snohomish
Johnstown,CO,Colorado,8123,Weld
Salmon Creek,WA,Washington,53011,Clark
Mill Creek,WA,Washington,53061,Snohomish
Universal City,TX,Texas,48029,Bexar
Montclair,VA,Virginia,51153,Prince William
Lorton,VA,Virginia,51059,Fairfax
Rosamond,CA,California,6029,Kern
Louisville,CO,Colorado,8013,Boulder
Dixon,CA,California,6095,Solano
